setpoint,kp,ki,kd,mae,oscillations,overshoot_pct
2065.145610318855,0.006526439609855473,0.005109522997890871,0.0010451684479445779,888.5335689778959,3,0
2071.0342628797016,0.004786043506943425,0.0057532000617046206,0.0014443229940811716,720.178545855802,1,0
1856.7079822699743,0.002990402122311962,0.0032786413428400663,0.0020159490698585664,877.601808316336,3,0
1866.2326574656386,0.004565963028393388,0.002810200852226526,0.002624101844133341,1006.9175404776116,3,0
2036.298163247823,0.003454486112260327,0.003304851726693078,0.0027494344817158086,526.0748409699347,2,0
1957.4911765206302,0.006055475215869833,0.004132883149858976,0.0019557466104978415,856.9947472051587,3,0
2108.724208243158,0.006542429840855771,0.004894391435994341,0.001357472311068783,832.6445817722862,3,0
1878.4770380470056,0.006602781351198063,0.0030260807054672038,0.0025685172845125756,1059.7112352427378,3,0
2038.905859380275,0.005832094870111586,0.0022021139753438234,0.0016260893945682418,1319.6433106622824,3,0
2126.8502477705993,0.006811759072095632,0.004485083586383718,0.0010668756933525701,1014.9322555075477,3,0
1944.3483719489075,0.0023630948500083654,0.0024069699489969055,0.0023895203134661398,776.3504264748968,3,0
2031.9058152193386,0.00650179878706848,0.004368597028159095,0.0011961508487024668,833.9300626822268,3,0
2134.198889953524,0.006791183817999413,0.0030734785991495006,0.002781525073558245,973.8348336974997,3,0
1900.8439807218738,0.0068418131464717665,0.0020600361272985895,0.002375696314622959,1083.3391949335546,3,0
2108.913339816242,0.006288021452974485,0.004788919792433841,0.0018971211300757226,642.8290496014988,0,0
1913.9738501710076,0.003988710407727111,0.005484835273091327,0.0017462871752391773,617.3409092106633,1,0
2027.4989321992766,0.004137931644231858,0.0038715443339051667,0.0018966544542260062,887.6376151611116,3,0
2001.0132835650536,0.005241699266511829,0.004543841139343012,0.0013266774396171956,1129.81711263147,2,0
1982.4779341461099,0.004791054289420203,0.0049752788822100096,0.0023543231701469818,1093.4926041656208,3,0
1926.7450579475592,0.004470148708035111,0.004015721004711208,0.0028330032981576745,887.8363511623228,3,0
1981.5945379149146,0.004978056307140802,0.006728277168908817,0.0013241574339342207,1609.9743196211268,2,0
1859.8731807570634,0.005563138944617755,0.003184251149428108,0.0027186333453761004,637.3001356326087,3,0
1997.4804666458353,0.005202248639481162,0.002276630967637205,0.00114051504264198,1072.0807697332307,3,0
1971.7712318342565,0.003512544752086086,0.005944731143379417,0.0020555128634910337,680.9795803538227,2,0
2018.083270624748,0.003697377812978786,0.003305205195467333,0.002136162986829021,859.0964369060852,3,0
2900.913008056621,0.00595134940889852,0.006369338786671031,0.0026945567706486598,974.0076487880149,1,0
2953.5066890901758,0.005332067011153392,0.006057898746485765,0.0010367552147755562,1039.569858928585,1,0
3006.251763143151,0.00547437817809748,0.006866381484389413,0.0017534078027683945,1060.199946962871,1,0
2897.07068152209,0.005168709416046149,0.006556992738767583,0.0016373178486089677,1013.7475554977306,1,0
2980.1655915739443,0.006026490391253534,0.005942874876451628,0.0012196154647086026,996.8793462556921,2,0
2951.973685237327,0.006051182519918755,0.006583706293100005,0.0018709114461746643,1008.6611681499057,1,0
3105.3997696075876,0.005782138607168915,0.005316995983006036,0.0017797844041594995,1058.4265814639027,1,0
3144.798607866009,0.005749994863732549,0.005431195988722525,0.0013031186813648983,1058.2822570366766,2,0
3035.675469198782,0.005031607091964843,0.006821098385403549,0.0024328162008609593,1069.5929462442518,1,0
2887.722685834787,0.0056794298938588495,0.006829925930565329,0.0026814407359475913,980.9139549793144,1,0
2946.007957890682,0.005139570192089885,0.005053234603285249,0.0015063274866666126,958.7876082273602,1,0
2865.7646754051634,0.00694979615827436,0.005332818902007917,0.001590210260177064,928.7046912541183,1,0
2865.8355415205965,0.005569182096952944,0.0062558677713315846,0.001021971713019635,959.1208871101438,1,0
2974.019195331347,0.005825664214030755,0.00605222319241898,0.0019262321951601877,1025.4823771457675,1,0
3035.776326876106,0.005959087172672086,0.005074002176385463,0.0013164896535203922,1029.9203713639952,1,0
3002.8859344333696,0.005927315953148368,0.006649268234220141,0.0015328795799823007,1018.1231045227861,1,0
3112.8343763263056,0.005235918959967132,0.006233803592041547,0.0020871279639732387,1009.1204990346163,2,0
3046.0897060781695,0.006837875267343148,0.006817496177550592,0.001191947443793813,1045.3952218959796,1,0
2920.2183910384983,0.005405410426169734,0.006985585871404079,0.002267053439016631,991.224318066742,1,0
2907.366862995721,0.006400409759413944,0.0063970409189608385,0.002524007354877845,1008.5021938990236,1,0
2995.9338437928977,0.006138878954564915,0.005111116349622479,0.0027718911397936045,1005.8657322386451,1,0
3119.64903192099,0.005659756649184907,0.006139434836867334,0.0012936781903232066,1073.507821872929,2,0
3073.3012891912945,0.006852615567487211,0.005378916338322678,0.002332044301929939,1068.9945661393608,1,0
